=== Wed Aug 19 11:26:10 UTC 2026 v6c: continued from v5_mid4, no-warmup, anneal decay ===
warm-started from v5_mid4.pt
params: 48.12M  device: cuda
dev split: 5000 rows held out, 905692 train
anneal pack: 404982 rows, 8536 batches (used for frac >= 0.8)
ep0 step1200/46784 loss=0.3748 lm=0.1815 name=0.1933 name_acc=0.950 tok/s=64,396
ep0 step1220/46784 loss=0.2146 lm=0.1282 name=0.0864 name_acc=0.973 tok/s=64,427
ep0 step1240/46784 loss=0.3833 lm=0.1928 name=0.1905 name_acc=0.926 tok/s=64,460
ep0 step1260/46784 loss=0.3039 lm=0.1643 name=0.1395 name_acc=0.953 tok/s=64,488
ep0 step1280/46784 loss=0.4206 lm=0.1778 name=0.2429 name_acc=0.940 tok/s=64,520
ep0 step1300/46784 loss=0.6873 lm=0.3408 name=0.3464 name_acc=0.941 tok/s=64,547
ep0 step1320/46784 loss=0.2004 lm=0.1113 name=0.0891 name_acc=0.982 tok/s=64,568
ep0 step1340/46784 loss=0.5663 lm=0.3004 name=0.2659 name_acc=0.937 tok/s=64,603
ep0 step1360/46784 loss=0.3591 lm=0.1633 name=0.1958 name_acc=0.954 tok/s=64,632
ep0 step1380/46784 loss=0.6393 lm=0.3381 name=0.3012 name_acc=0.892 tok/s=64,664
ep0 step1400/46784 loss=0.9826 lm=0.5385 name=0.4442 name_acc=0.887 tok/s=64,696
ep0 step1420/46784 loss=0.7085 lm=0.3772 name=0.3313 name_acc=0.870 tok/s=64,719
ep0 step1440/46784 loss=0.6787 lm=0.2937 name=0.3850 name_acc=0.884 tok/s=64,737
ep0 step1460/46784 loss=0.7504 lm=0.2204 name=0.5300 name_acc=0.903 tok/s=64,748
ep0 step1480/46784 loss=0.3275 lm=0.2345 name=0.0930 name_acc=0.979 tok/s=64,737
ep0 step1500/46784 loss=0.6333 lm=0.2701 name=0.3632 name_acc=0.923 tok/s=64,726
ep0 step1520/46784 loss=0.5057 lm=0.3244 name=0.1813 name_acc=0.961 tok/s=64,720
ep0 step1540/46784 loss=0.4665 lm=0.2865 name=0.1799 name_acc=0.962 tok/s=64,742
ep0 step1560/46784 loss=0.3846 lm=0.2340 name=0.1506 name_acc=0.984 tok/s=64,772
ep0 step1580/46784 loss=0.5312 lm=0.2615 name=0.2698 name_acc=0.914 tok/s=64,794
ep0 step1600/46784 loss=0.3803 lm=0.2397 name=0.1406 name_acc=0.951 tok/s=64,819
ep0 step1620/46784 loss=0.2310 lm=0.1958 name=0.0352 name_acc=1.000 tok/s=64,842
ep0 step1640/46784 loss=0.4305 lm=0.2355 name=0.1951 name_acc=0.929 tok/s=64,868
ep0 step1660/46784 loss=0.3851 lm=0.2177 name=0.1674 name_acc=0.941 tok/s=64,888
