=== Tue Aug 18 14:01:04 UTC 2026 v5 main ===
params: 48.12M  device: cuda
dev split: 5000 rows held out, 640323 train
ep0 step1220/64704 loss=2.5861 lm=1.6999 name=0.8862 name_acc=0.645 tok/s=66,159
ep0 step1240/64704 loss=2.7033 lm=1.8522 name=0.8511 name_acc=0.670 tok/s=66,166
ep0 step1260/64704 loss=4.1799 lm=2.2909 name=1.8889 name_acc=0.300 tok/s=66,175
ep0 step1280/64704 loss=3.4500 lm=2.1292 name=1.3207 name_acc=0.512 tok/s=66,179
ep0 step1300/64704 loss=3.5536 lm=1.8707 name=1.6829 name_acc=0.365 tok/s=66,198
ep0 step1320/64704 loss=4.7621 lm=2.7732 name=1.9888 name_acc=0.271 tok/s=66,206
ep0 step1340/64704 loss=4.6061 lm=2.6563 name=1.9498 name_acc=0.271 tok/s=66,214
ep0 step1360/64704 loss=2.2036 lm=1.5140 name=0.6896 name_acc=0.724 tok/s=66,225
ep0 step1380/64704 loss=3.6197 lm=2.1602 name=1.4595 name_acc=0.395 tok/s=66,233
ep0 step1400/64704 loss=2.4038 lm=1.2649 name=1.1389 name_acc=0.514 tok/s=66,248
ep0 step1420/64704 loss=2.2173 lm=1.6049 name=0.6124 name_acc=0.778 tok/s=66,262
ep0 step1440/64704 loss=4.1397 lm=2.0111 name=2.1286 name_acc=0.194 tok/s=66,268
ep0 step1460/64704 loss=3.5402 lm=1.7364 name=1.8038 name_acc=0.333 tok/s=66,284
ep0 step1480/64704 loss=2.4002 lm=1.5050 name=0.8952 name_acc=0.639 tok/s=66,286
ep0 step1500/64704 loss=4.4448 lm=2.2871 name=2.1577 name_acc=0.185 tok/s=66,284
ep0 step1520/64704 loss=1.6866 lm=1.0384 name=0.6482 name_acc=0.768 tok/s=66,273
ep0 step1540/64704 loss=3.3376 lm=1.7602 name=1.5775 name_acc=0.394 tok/s=66,284
ep0 step1560/64704 loss=2.4388 lm=1.4327 name=1.0061 name_acc=0.603 tok/s=66,293
ep0 step1580/64704 loss=1.9654 lm=1.2550 name=0.7103 name_acc=0.709 tok/s=66,300
ep0 step1600/64704 loss=1.7733 lm=1.0830 name=0.6903 name_acc=0.727 tok/s=66,307
ep0 step1620/64704 loss=3.2035 lm=1.7472 name=1.4563 name_acc=0.479 tok/s=66,317
ep0 step1640/64704 loss=3.4723 lm=1.9680 name=1.5044 name_acc=0.420 tok/s=66,319
ep0 step1660/64704 loss=1.4992 lm=0.9275 name=0.5717 name_acc=0.808 tok/s=66,324
